,Country,BirthRate,BusinessTaxRate,CO2Emissions,GDP,HealthExpCapita,InfantMortalityRate,InternetUsage,LendingInterest,LifeExpectancyFemale,MobilePhoneUsage,PopulationTotal,Cluster
0,Algeria,0.02,49.05165609584215,87931.0,54790058957.0,60.0,0.034,0.0,0.1,71.0,0.0,31719449,1
1,Angola,0.05,49.05165609584215,9542.0,9129594819.0,22.0,0.02,0.0,0.119,47.0,0.0,13924930,0
2,Benin,0.043,49.05165609584215,1617.0,2359122303.0,15.0,0.09,0.0,0.119,57.0,0.0,6949366,0
3,Botswana,0.027,49.05165609584215,4276.0,5788311645.0,152.0,0.054,0.0,0.155,52.0,0.1,1755375,0
4,Burkina Faso,0.046,49.05165609584215,1041.0,2610959139.0,12.0,0.096,0.0,0.119,52.0,0.0,11607944,0
5,Burundi,0.042,49.05165609584215,301.0,870486066.0,7.0,0.092,0.0,0.158,49.0,0.0,6674286,0
6,Cameroon,0.041,49.05165609584215,3432.0,9287367569.0,26.0,0.093,0.0,0.22,53.0,0.0,15927713,0
7,Central African Republic,0.039,49.05165609584215,268.0,914500332.0,11.0,0.02,0.0,0.22,45.0,0.0,3638316,0
8,Chad,0.051,49.05165609584215,176.0,1385058212.0,10.0,0.106,0.0,0.22,48.0,0.0,8301151,0
9,Comoros,0.039,49.05165609584215,84.0,201899884.0,13.0,0.073,0.0,0.12,59.0,0.5,528312,0
10,"Congo, Dem. Rep.",0.048,49.05165609584215,1646.0,19088046305.0,14.0,0.02,0.0,0.119,48.0,0.0,46949244,0
11,"Congo, Rep.",0.039,49.05165609584215,1049.0,3219910666.0,22.0,0.077,0.0,0.22,53.0,0.0,3126204,0
12,Cote d'Ivoire,0.038,49.05165609584215,6791.0,10417060605.0,42.0,0.1,0.0,0.119,47.0,0.0,16131332,0
13,Djibouti,0.03,49.05165609584215,403.0,551230862.0,44.0,0.08,0.0,0.119,59.0,0.0,722887,0
14,"Egypt, Arab Rep.",0.025,49.05165609584215,8529.0,99838540997.0,79.0,0.036,0.0,0.132,71.0,0.0,5971526,1
15,Equatorial Guinea,0.04,49.05165609584215,455.0,1045998534.0,57.0,0.099,0.0,0.22,49.0,0.0,518179,0
16,Eritrea,0.04,49.05165609584215,609.0,706370812.0,7.0,0.058,0.0,0.119,58.0,0.5,3939348,0
17,Ethiopia,0.044,49.05165609584215,5831.0,8091384891.0,5.0,0.09,0.0,0.109,53.0,0.0,5971526,0
18,Gabon,0.034,49.05165609584215,1052.0,5067865503.0,118.0,0.056,0.0,0.22,61.0,0.1,1225527,0
19,"Gambia, The",0.045,49.05165609584215,275.0,782913866.0,29.0,0.063,0.0,0.119,56.0,0.0,1228863,0
20,Ghana,0.035,49.05165609584215,6289.0,4982849054.0,13.0,0.065,0.0,0.119,58.0,0.0,18825034,0
21,Guinea,0.042,49.05165609584215,1280.0,2995360969.0,19.0,0.103,0.0,0.194,51.0,0.0,8746128,0
22,Guinea-Bissau,0.042,49.05165609584215,147.0,361858968.0,16.0,0.109,0.0,0.119,53.0,0.5,1273312,0
23,Kenya,0.039,49.05165609584215,10418.0,12705350153.0,19.0,0.069,0.0,0.223,54.0,0.0,31285050,0
24,Lesotho,0.031,49.05165609584215,8529.0,771200632.0,29.0,0.081,0.0,0.171,48.0,0.0,1856225,0
25,Liberia,0.043,49.05165609584215,436.0,529064647.0,11.0,0.02,0.0,0.205,53.0,0.0,2891968,0
26,Libya,0.022,49.05165609584215,47114.0,33896600871.0,252.0,0.024,0.0,0.07,74.0,0.0,5176185,2
27,Madagascar,0.041,49.05165609584215,1874.0,3877673635.0,12.0,0.071,0.0,0.119,60.0,0.0,15744811,0
28,Malawi,0.045,49.05165609584215,906.0,1743506287.0,9.0,0.103,0.0,0.119,46.0,0.0,11321496,0
29,Mali,0.048,49.05165609584215,543.0,2422482318.0,16.0,0.02,0.0,0.119,49.0,0.0,10260577,0
30,Mauritania,0.038,49.05165609584215,1236.0,1293653473.0,24.0,0.076,0.0,0.119,61.0,0.0,2708095,0
31,Mauritius,0.017,49.05165609584215,2769.0,4582562398.0,146.0,0.016,0.1,0.208,75.0,0.2,1186873,2
32,Morocco,0.022,49.05165609584215,33905.0,37020609825.0,54.0,0.043,0.0,0.133,70.0,0.1,28710123,0
33,Mozambique,0.044,49.05165609584215,1349.0,4310090791.0,15.0,0.02,0.0,0.19,49.0,0.0,18275618,0
34,Namibia,0.032,49.05165609584215,1643.0,3908645566.0,126.0,0.049,0.0,0.153,57.0,0.0,1897953,0
35,Niger,0.053,49.05165609584215,796.0,1798374533.0,10.0,0.101,0.0,0.119,51.0,0.0,10989815,0
36,Nigeria,0.043,49.05165609584215,79182.0,46385996027.0,17.0,0.02,0.0,0.213,47.0,0.0,5971526,0
37,Rwanda,0.041,49.05165609584215,686.0,1734938190.0,9.0,0.108,0.0,0.17,49.0,0.0,8395577,0
38,Sao Tome and Principe,0.036,49.05165609584215,48.0,76709305.0,46.0,0.058,0.0,0.119,65.0,0.5,139428,0
39,Senegal,0.04,49.05165609584215,3938.0,4679604922.0,22.0,0.069,0.0,0.119,59.0,0.0,9861679,0
40,Seychelles,0.019,49.05165609584215,565.0,614877971.0,371.0,0.012,0.1,0.107,75.0,0.3,81131,2
41,Sierra Leone,0.044,49.05165609584215,425.0,635874002.0,28.0,0.02,0.0,0.119,39.0,0.0,4139757,0
42,Somalia,0.049,49.05165609584215,517.0,15493320082.0,193.0,0.105,0.0,0.119,52.0,0.0,7385416,0
43,South Africa,0.024,49.05165609584215,8529.0,132877640158.0,246.0,0.052,0.1,0.145,58.0,0.2,44000000,1
44,South Sudan,0.043,49.05165609584215,8529.0,15493320082.0,193.0,0.11,0.1,0.119,50.0,0.5,6652984,0
45,Sudan,0.04,49.05165609584215,5534.0,12257299163.0,15.0,0.069,0.0,0.119,60.0,0.0,27729798,0
46,Swaziland,0.033,49.05165609584215,1188.0,1524490159.0,75.0,0.08,0.0,0.14,49.0,0.0,1063715,0
47,Tanzania,0.042,49.05165609584215,2651.0,10185786171.0,10.0,0.08,0.0,0.216,51.0,0.0,34020512,0
48,Togo,0.039,49.05165609584215,1357.0,1294250280.0,14.0,0.077,0.0,0.119,54.0,0.0,4864753,0
49,Tunisia,0.017,49.05165609584215,19923.0,21473188882.0,123.0,0.026,0.0,0.119,75.0,0.0,9563500,2
50,Uganda,0.048,49.05165609584215,1533.0,6193246632.0,16.0,0.089,0.0,0.229,48.0,0.0,24275641,0
51,Zambia,0.045,49.05165609584215,1819.0,3253551750.0,18.0,0.1,0.0,0.119,42.0,0.0,10100981,0
52,Zimbabwe,0.032,49.05165609584215,13887.0,6689957610.0,193.0,0.061,0.0,0.119,44.0,0.0,12503652,0
53,Afghanistan,0.05,49.05165609584215,781.0,15493320082.0,193.0,0.095,0.1,0.119,56.0,0.5,20595360,0
54,Armenia,0.013,49.05165609584215,3465.0,1911563665.0,39.0,0.027,0.0,0.119,75.0,0.0,3076098,2
55,Azerbaijan,0.015,49.05165609584215,29508.0,5272617196.0,30.0,0.061,0.0,0.197,70.0,0.1,8048600,0
56,Bangladesh,0.027,49.05165609584215,27869.0,47124925462.0,10.0,0.064,0.0,0.155,66.0,0.0,5971526,0
57,Bhutan,0.028,49.05165609584215,400.0,439158233.0,52.0,0.059,0.0,0.16,60.0,0.5,564350,0
58,Brunei Darussalam,0.023,49.05165609584215,6527.0,6001153318.0,543.0,0.008,0.1,0.055,78.0,0.3,331801,2
59,Cambodia,0.028,49.05165609584215,1977.0,3654031716.0,19.0,0.082,0.0,0.119,65.0,0.0,12222871,0
60,China,0.014,49.05165609584215,8529.0,15493320082.0,43.0,0.03,0.0,0.059,74.0,0.1,5971526,2
61,Georgia,0.012,49.05165609584215,4536.0,3057453461.0,45.0,0.031,0.0,0.119,75.0,0.0,4418300,2
62,"Hong Kong SAR, China",0.008,49.05165609584215,40465.0,171668164083.0,193.0,0.02,0.3,0.095,84.0,0.8,6665000,1
63,India,0.026,49.05165609584215,8529.0,15493320082.0,20.0,0.067,0.0,0.123,63.0,0.0,5971526,0
64,Indonesia,0.022,49.05165609584215,8529.0,165021012262.0,15.0,0.041,0.0,0.185,69.0,0.0,5971526,1
65,Japan,0.009,49.05165609584215,8529.0,15493320082.0,193.0,0.003,0.3,0.021,85.0,0.5,5971526,2
66,Kazakhstan,0.015,49.05165609584215,8529.0,18291990619.0,52.0,0.038,0.0,0.119,71.0,0.0,14883626,0
67,"Korea, Dem. Rep.",0.018,49.05165609584215,76699.0,15493320082.0,193.0,0.045,0.1,0.119,69.0,0.5,22840225,1
68,"Korea, Rep.",0.013,49.05165609584215,8529.0,15493320082.0,491.0,0.005,0.4,0.085,80.0,0.6,47008111,2
69,Kyrgyz Republic,0.02,49.05165609584215,4529.0,1369691955.0,13.0,0.042,0.0,0.119,72.0,0.0,4898400,0
70,Lao PDR,0.031,49.05165609584215,972.0,1731198022.0,11.0,0.083,0.0,0.119,63.0,0.0,5388281,0
71,"Macao SAR, China",0.009,49.05165609584215,1635.0,6101794939.0,193.0,0.02,0.1,0.099,80.0,0.3,431907,2
72,Malaysia,0.023,49.05165609584215,8529.0,93789473684.0,120.0,0.009,0.2,0.077,75.0,0.2,23420751,1
73,Maldives,0.025,49.05165609584215,499.0,624337144.0,162.0,0.035,0.0,0.13,70.0,0.0,272745,0
74,Mongolia,0.019,49.05165609584215,7506.0,1136896162.0,22.0,0.049,0.0,0.119,66.0,0.1,2397473,0
75,Myanmar,0.021,49.05165609584215,10088.0,15493320082.0,3.0,0.059,0.1,0.153,64.0,0.0,48453000,0
76,Nepal,0.033,49.05165609584215,3234.0,5494252208.0,12.0,0.06,0.0,0.095,63.0,0.0,23184177,0
